"Step 1","Step 2","Step 3","User Name","title","Bin Category","Quarter-Year","Week Number","Week Start Date","Week End Date","Count"
"/shared/Enterprise Analytics/_portal/Quarterly Regional Briefing","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Quarterly Regional Briefing","JB021622","Business Manager - Low Slope,Siding,Wndw","Power User","2022Q4","Week 3","2022-10-15","2022-10-21","3"
"/shared/Enterprise Analytics/_portal/Quarterly Regional Briefing","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Quarterly Regional Briefing","JB021622","Business Manager - Low Slope,Siding,Wndw","Power User","2023Q3","Week 3","2023-07-15","2023-07-21","3"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Supplier Mix","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","EG069675","Director Steep Slope Roofing","Power User","2024Q4","Week 12","2024-12-17","2024-12-23","3"
"/shared/Enterprise Analytics/_portal/Quarterly Regional Briefing","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Quarterly Regional Briefing","KB002230","Business Manager - All Products","Power User","2023Q4","Week 3","2023-10-15","2023-10-21","3"
"/shared/Enterprise Analytics/_portal/Sales & Mix Adjusted Net Net GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales & Mix Adjusted Net Net GP","AJ020884","ABC District Manager","Power User","2023Q2","Week 6","2023-05-06","2023-05-12","3"
"/shared/Enterprise Analytics/_portal/Sales & Mix Adjusted Net Net GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales & Mix Adjusted Net Net GP","WA019330","Controller","Power User","2024Q2","Week 3","2024-04-15","2024-04-21","3"
"/shared/Enterprise Analytics/_portal/Sales & Mix Adjusted Net Net GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Sales & Mix Adjusted Net Net GP","TA017942","ABC District Manager","Power User","2024Q4","Week 3","2024-10-15","2024-10-21","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/Merchandising/Product Hierarchy/Merchandising Product Hierarchy","/shared/Enterprise Analytics/_portal/Sales and GP","AB003470","ABC Branch Manager","Regular User","2024Q1","Week 3","2024-01-15","2024-01-21","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/Merchandising/Product Hierarchy/Merchandising Product Hierarchy","/shared/Enterprise Analytics/_portal/Sales and GP","AM026049","ABC District Manager","Power User","2023Q4","Week 8","2023-11-19","2023-11-25","3"
"/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Inventory Analytics","RR010480","T&C Director","Regular User","2023Q1","Week 1","2023-01-01","2023-01-07","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/National Accounts/National Accounts Sales Pivots/National Accounts Sales","/shared/Enterprise Analytics/_portal/Sales and GP","AW052042","Product Owner","Power User","2024Q4","Week 3","2024-10-15","2024-10-21","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Average Sell Price","/shared/Enterprise Analytics/_portal/Sales and GP","JH060804","ABC Branch Manager","Power User","2024Q2","Week 3","2024-04-15","2024-04-21","3"
"/shared/Enterprise Analytics/Merchandising/Product Hierarchy/Merchandising Product Hierarchy","/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics","/shared/Enterprise Analytics/Merchandising/Product Hierarchy/Merchandising Product Hierarchy","LG026153","NSC Vendor Relations Specialist","Casual User","2024Q4","Week 6","2024-11-05","2024-11-11","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Average Sell Price","/shared/Enterprise Analytics/_portal/Sales and GP","WZ035631","ABC Branch Manager","Power User","2024Q2","Week 3","2024-04-15","2024-04-21","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","MC014643","Controller","Power User","2023Q3","Week 7","2023-08-12","2023-08-18","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","BB018627","NSC Education Director","Casual User","2023Q3","Week 3","2023-07-15","2023-07-21","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","CG057266","ABC Branch Manager","Power User","2023Q4","Week 4","2023-10-22","2023-10-28","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","CM080257","Controller","Power User","2024Q4","Week 6","2024-11-05","2024-11-11","3"
"/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics","/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","SS009246","ABC District Manager","Power User","2023Q4","Week 3","2023-10-15","2023-10-21","3"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Supplier Mix","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","EG069675","Director Steep Slope Roofing","Power User","2024Q4","Week 8","2024-11-19","2024-11-25","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","DO025801","ABC District Manager","Power User","2022Q4","Week 5","2022-10-29","2022-11-04","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","JH016965","ABC Branch Manager","Regular User","2022Q4","Week 10","2022-12-03","2022-12-09","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","JN016160","T&C Branch Manager","Regular User","2022Q4","Week 4","2022-10-22","2022-10-28","3"
"/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","CM080257","Controller","Power User","2024Q2","Week 10","2024-06-03","2024-06-09","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","KB034805","ABC Branch Manager","Power User","2024Q2","Week 9","2024-05-27","2024-06-02","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","KB034805","ABC Branch Manager","Power User","2024Q4","Week 3","2024-10-15","2024-10-21","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","KM077961","ABC Branch Manager","Regular User","2023Q2","Week 6","2023-05-06","2023-05-12","3"
"/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Inventory Analytics","SN019072","T&C Branch Manager","Regular User","2023Q1","Week 12","2023-03-19","2023-03-25","3"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Supplier Mix","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","KB002230","Business Manager - All Products","Power User","2024Q2","Week 3","2024-04-15","2024-04-21","3"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","SF020889","ABC District Manager","Power User","2022Q3","Week 8","2022-08-19","2022-08-25","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","LT022003","ABC District Manager","Power User","2022Q4","Week 4","2022-10-22","2022-10-28","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","MC014643","Controller","Power User","2023Q3","Week 7","2023-08-12","2023-08-18","3"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales & Mix Adjusted Net Net GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","AJ020884","ABC District Manager","Power User","2023Q2","Week 6","2023-05-06","2023-05-12","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","MG063482","ABC Branch Manager","Regular User","2022Q4","Week 3","2022-10-15","2022-10-21","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","NB003906","Business Manager - Steep Slope, Low Slope, Solar","Power User","2023Q3","Week 7","2023-08-12","2023-08-18","3"
"/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics","/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Supplier Mix","EG069675","Director Steep Slope Roofing","Power User","2023Q2","Week 4","2023-04-22","2023-04-28","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","RP021648","ABC Branch Manager","Regular User","2023Q2","Week 7","2023-05-13","2023-05-19","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","RR010480","T&C Director","Regular User","2023Q1","Week 12","2023-03-19","2023-03-25","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","RR010480","T&C Director","Regular User","2023Q2","Week 3","2023-04-15","2023-04-21","3"
"/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","RS071179","ABC Branch Manager","Power User","2023Q2","Week 4","2023-04-22","2023-04-28","3"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","EF021153","Administrative Assistant","Power User","2024Q2","Week 3","2024-04-15","2024-04-21","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","GP041312","Enterprise Planning & Analysis Manager","Power User","2023Q1","Week 13","2023-03-26","2023-04-01","2"
"/shared/Trade Payables Analytics/Shingles Receipts/Shingles Receipts","/shared/Enterprise Analytics/Payables/Shingles Receipts/Shingles Receipts","/shared/Trade Payables Analytics/Shingles Receipts/Shingles Receipts","EW052605","NSC A/P Specialist","Casual User","2023Q3","Week 3","2023-07-15","2023-07-21","2"
"/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","MC014643","Controller","Power User","2022Q3","Week 11","2022-09-09","2022-09-15","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","GP069024","Director Enterprise Planning & Analysis","Power User","2023Q1","Week 12","2023-03-19","2023-03-25","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","GP069024","Director Enterprise Planning & Analysis","Power User","2022Q3","Week 5","2022-07-29","2022-08-04","2"
"/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","JB077854","Director of Research","Power User","2022Q3","Week 5","2022-07-29","2022-08-04","2"
"/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","CG057266","ABC Branch Manager","Power User","2022Q3","Week 5","2022-07-29","2022-08-04","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","GP069024","Director Enterprise Planning & Analysis","Power User","2023Q2","Week 2","2023-04-08","2023-04-14","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","GP069024","Director Enterprise Planning & Analysis","Power User","2023Q2","Week 3","2023-04-15","2023-04-21","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","GP069024","Director Enterprise Planning & Analysis","Power User","2023Q2","Week 4","2023-04-22","2023-04-28","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","GP069024","Director Enterprise Planning & Analysis","Power User","2023Q3","Week 1","2023-07-01","2023-07-07","2"
"/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","JH060804","ABC Branch Manager","Power User","2023Q2","Week 7","2023-05-13","2023-05-19","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","GP069024","Director Enterprise Planning & Analysis","Power User","2023Q3","Week 3","2023-07-15","2023-07-21","2"
"/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics","BV059710","Merchandising Manager - Siding","Power User","2023Q3","Week 3","2023-07-15","2023-07-21","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","GP069024","Director Enterprise Planning & Analysis","Power User","2023Q3","Week 8","2023-08-19","2023-08-25","2"
"/shared/Enterprise Analytics/Regional Analytics/Northeast/Shingle Sales by Branch by Brand/Shingle Sales by Branch by Brand","/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/Regional Analytics/Northeast/Shingle Sales by Branch by Brand/Shingle Sales by Branch by Brand","ES021691","ABC District Manager","Power User","2024Q4","Week 3","2024-10-15","2024-10-21","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","JT012448","ABC District Manager","Power User","2024Q1","Week 9","2024-02-26","2024-03-03","2"
"/shared/Enterprise Analytics/_portal/Net Net Average Recovery","/shared/Enterprise Analytics/_portal/Average Recovery","/shared/Enterprise Analytics/_portal/Net Net Average Recovery","GW060425","NSC IT Senior BI Engineer","Power User","2024Q1","Week 5","2024-01-29","2024-02-04","2"
"/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","ND024889","ABC Branch Manager","Regular User","2023Q3","Week 9","2023-08-26","2023-09-01","2"
"/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics","BV059710","Merchandising Manager - Siding","Power User","2024Q4","Week 7","2024-11-12","2024-11-18","2"
"/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics","GP069024","Director Enterprise Planning & Analysis","Power User","2023Q3","Week 3","2023-07-15","2023-07-21","2"
"/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","CG057266","ABC Branch Manager","Power User","2022Q3","Week 6","2022-08-05","2022-08-11","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","GP069024","Director Enterprise Planning & Analysis","Power User","2024Q1","Week 12","2024-03-18","2024-03-24","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","KC005395","ABC District Manager","Power User","2024Q1","Week 4","2024-01-22","2024-01-28","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","KC005395","ABC District Manager","Power User","2024Q2","Week 3","2024-04-15","2024-04-21","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","GP069024","Director Enterprise Planning & Analysis","Power User","2024Q2","Week 3","2024-04-15","2024-04-21","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","MC014643","Controller","Power User","2022Q3","Week 11","2022-09-09","2022-09-15","2"
"/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","CG057266","ABC Branch Manager","Power User","2022Q3","Week 9","2022-08-26","2022-09-01","2"
"/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","MM041206","VP of Merchandising","Power User","2024Q4","Week 12","2024-12-17","2024-12-23","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","MC014643","Controller","Power User","2024Q2","Week 6","2024-05-06","2024-05-12","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","JB077854","Director of Research","Power User","2023Q1","Week 3","2023-01-15","2023-01-21","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","MH019547","ABC District Manager","Power User","2024Q4","Week 6","2024-11-05","2024-11-11","2"
"/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","CG057266","ABC Branch Manager","Power User","2022Q4","Week 1","2022-10-01","2022-10-07","2"
"/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","KB034805","ABC Branch Manager","Power User","2022Q2","Week 9","2022-05-27","2022-06-02","2"
"/shared/Enterprise Analytics/_portal/Net Net Average Recovery","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales and GP","AM026049","ABC District Manager","Power User","2024Q2","Week 3","2024-04-15","2024-04-21","2"
"/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","JH060804","ABC Branch Manager","Power User","2024Q1","Week 11","2024-03-11","2024-03-17","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","MM041206","VP of Merchandising","Power User","2023Q4","Week 4","2023-10-22","2023-10-28","2"
"/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","ND059680","Controller","Power User","2023Q2","Week 8","2023-05-20","2023-05-26","2"
"/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","PA020877","ABC District Manager","Power User","2022Q2","Week 8","2022-05-20","2022-05-26","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","JP029277","ABC District Manager","Power User","2023Q3","Week 2","2023-07-08","2023-07-14","2"
"/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Inventory Analytics","BV059710","Merchandising Manager - Siding","Power User","2023Q3","Week 3","2023-07-15","2023-07-21","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","ND059680","Controller","Power User","2022Q3","Week 7","2022-08-12","2022-08-18","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","JP029277","ABC District Manager","Power User","2023Q3","Week 4","2023-07-22","2023-07-28","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","ND059680","Controller","Power User","2023Q2","Week 12","2023-06-17","2023-06-23","2"
"/shared/Enterprise Analytics/Regional Analytics/Northeast/Siding and Sofit Panel Inventory Analysis/NE Siding & Soffit Panels and Accessories","/shared/Enterprise Analytics/_portal/Inventory Analytics","/shared/Enterprise Analytics/_portal/Pricing Analytics","JO077894","Enterprise Analytics Product Specialist","Power User","2023Q4","Week 7","2023-11-12","2023-11-18","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","ND059680","Controller","Power User","2023Q2","Week 2","2023-04-08","2023-04-14","2"
"/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Supplier Mix","CG057266","ABC Branch Manager","Power User","2023Q3","Week 9","2023-08-26","2023-09-01","2"
"/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","CG057266","ABC Branch Manager","Power User","2023Q1","Week 3","2023-01-15","2023-01-21","2"
"/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","JB077854","Director of Research","Power User","2022Q4","Week 11","2022-12-10","2022-12-16","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","JP029277","ABC District Manager","Power User","2024Q4","Week 4","2024-10-22","2024-10-28","2"
"/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics","AS012080","Merchandising Manager - Windows & Doors","Power User","2024Q2","Week 5","2024-04-29","2024-05-05","2"
"/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics","BV059710","Merchandising Manager - Siding","Power User","2023Q2","Week 11","2023-06-10","2023-06-16","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","PA020877","ABC District Manager","Power User","2022Q2","Week 8","2022-05-20","2022-05-26","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","JP029277","ABC District Manager","Power User","2024Q4","Week 8","2024-11-19","2024-11-25","2"
"/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Average Recovery","/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics","AW018002","Enterprise Analytics Manager","Power User","2023Q3","Week 2","2023-07-08","2023-07-14","2"
"/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","KC005395","ABC District Manager","Power User","2022Q3","Week 13","2022-09-23","2022-09-29","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","PA020877","ABC District Manager","Power User","2023Q4","Week 2","2023-10-08","2023-10-14","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Pricing Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","PA020877","ABC District Manager","Power User","2023Q4","Week 3","2023-10-15","2023-10-21","2"
"/shared/Enterprise Analytics/Regional Analytics/Regional Reports/Regional Inventory Supply","/shared/Enterprise Analytics/_portal/Average Sell Price","/shared/Enterprise Analytics/Regional Analytics/Regional Reports/Regional Inventory Supply","SG004115","ABC District Manager","Power User","2024Q2","Week 10","2024-06-03","2024-06-09","2"
"/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics","BV059710","Merchandising Manager - Siding","Power User","2024Q2","Week 9","2024-05-27","2024-06-02","2"
"/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics","BV059710","Merchandising Manager - Siding","Power User","2024Q4","Week 11","2024-12-10","2024-12-16","2"
"/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics","BV059710","Merchandising Manager - Siding","Power User","2024Q4","Week 12","2024-12-17","2024-12-23","2"
"/shared/Enterprise Analytics/_portal/Net Net Sales & GP","/shared/Enterprise Analytics/_portal/Sales and GP","/shared/Enterprise Analytics/_portal/Net Net Sales & GP","JT012448","ABC District Manager","Power User","2024Q4","Week 5","2024-10-29","2024-11-04","2"
